cuisinetype,restaurantid,restaurantname,segment,subregion,growthfactor,aov,monthlyorders,instoreorders,instorerevenue,ubereatsorders,doordashorders,selfdeliveryorders,ubereatsrevenue,doordashrevenue,selfdeliveryrevenue,cogsrate,opexrate,commissionrate,deliveryradiuskm,deliverycostperorder,sd_deliverytotalcost,instorenetprofit,ubereatsnetprofit,doordashnetprofit,selfdeliverynetprofit,instoreshare,ue_share,dd_share,sd_share,scale_score,cost_discipline_score,aggregator_dependence,expansion_headroom,revenue_quality_score,total_revenue,total_net_profit,delivery_revenue_mix,instore_reliance
Burgers,25132,Lucky Burgers Tavern,Ghost Kitchen,CBD,0.99,36.56,897,42,1535.52,385,214,256,14075.6,7823.84,9359.36,0.294071698107291,0.265251147735398,0.3,18,5.31,1359.36,676.67,1980.12,1100.64,2765.1,0.05,0.45,0.25,0.3,888.03,0.440677154157311,0.7,0.020066889632107024,0.23466163866973017,32794.32,6522.530000000001,0.9531772575250838,0.05
Burgers,26489,Classic Burgers Cafe,Cafe,West Auckland,1.04,36.49,1640,468,17077.32,527,293,352,19230.23,10691.57,12844.48,0.226056149750948,0.371622992213815,0.3,16,4.72,1661.44,6870.56,1967.65,1093.97,3506.16,0.4,0.45,0.25,0.3,1705.6000000000001,0.402320858035237,0.7,0.00975609756097561,1.3028843732660313,59843.600000000006,13438.34,0.7146341463414633,0.4
Burgers,25040,Lucky Burgers Grill,QSR,North Shore,1.03,41.72,1452,299,12474.28,519,288,346,21652.68,12015.36,14435.12,0.24809970267117,0.389124022936448,0.32,18,5.31,1837.26,4525.37,926.22,513.97,3399.46,0.26,0.45,0.25,0.3,1495.56,0.362776274392382,0.7,0.012396694214876033,0.880277537961085,60577.44,9365.02,0.7940771349862259,0.26
Burgers,25502,Top Burgers Grill,Cafe,West Auckland,1.04,34.21,899,207,7081.47,311,173,208,10639.31,5918.33,7115.68,0.247309528961778,0.350396152329631,0.31,3,0.89,185.12,2848.84,981.95,546.23,2677.48,0.3,0.45,0.25,0.3,934.96,0.402294318708591,0.7,0.0033370411568409346,0.24683544694210469,30754.79,7054.5,0.7697441601779755,0.3
Burgers,25889,Top Burgers Bistro,QSR,North Shore,1.03,40.18,1334,231,9281.58,496,276,331,19929.28,11089.68,13299.58,0.238772939294577,0.433020327752456,0.31,17,5.02,1661.62,3046.28,362.85,201.91,2703.39,0.21,0.45,0.25,0.3,1374.02,0.328206732952967,0.7,0.012743628185907047,0.299331817976583,53600.12,6314.43,0.8268365817091454,0.21
Burgers,25283,Urban Burgers Grill,Cafe,South Auckland,1.05,42.16,571,151,6366.16,189,105,126,7968.24,4426.8,5312.16,0.27608444660902,0.441550263715908,0.29,4,1.18,148.68,1797.58,-60.84,-33.8,1351.29,0.36,0.45,0.25,0.3,599.5500000000001,0.282365289675072,0.7,0.0070052539404553416,-0.2305253215191356,24073.36,3054.23,0.7355516637478109,0.36
Burgers,25366,Classic Burgers Tavern,Full-service,West Auckland,1.04,45.99,701,214,9841.86,219,122,146,10071.81,5610.78,6714.54,0.392565074376762,0.450436520925723,0.27,4,1.18,172.28,1545.16,-1138.13,-634.03,881.89,0.44,0.45,0.25,0.3,729.0400000000001,0.15699840469751503,0.7,0.005706134094151213,-0.6488556987411513,32238.989999999998,654.89,0.6947218259629102,0.44
Burgers,25247,Lucky Burgers Kitchen,Cafe,South Auckland,1.05,34.73,1151,304,10557.92,381,212,254,13232.13,7362.76,8821.42,0.20139017611742,0.416730785742402,0.31,5,1.48,375.92,4031.85,951.11,529.23,2992.8,0.36,0.45,0.25,0.3,1208.55,0.381879038140178,0.7,0.004344048653344918,0.4760159657836029,39974.229999999996,8504.990000000002,0.7358818418766291,0.36
Burgers,25004,King Burgers Cafe,Ghost Kitchen,South Auckland,1.05,34.64,1629,106,3671.84,685,381,457,23728.4,13197.84,15830.48,0.259387835033704,0.336022477445658,0.32,18,5.31,2426.67,1485.59,2007.18,1116.4,3978.18,0.07,0.45,0.25,0.3,1710.45,0.40458968752063806,0.7,0.011049723756906077,0.484868306296969,56428.56,8587.35,0.9349294045426643,0.07
Burgers,25853,Classic Burgers Tavern,Ghost Kitchen,CBD,0.99,31.34,1519,72,2256.48,651,362,434,20402.34,11345.08,13601.56,0.272829318465665,0.319570669706445,0.32,5,1.48,642.32,919.74,1787.25,993.83,4901.68,0.05,0.45,0.25,0.3,1503.81,0.40760001182788996,0.7,0.0032916392363396972,0.36670944206703404,47605.46,8602.5,0.9526003949967083,0.05
Burgers,25005,Classic Burgers Bistro,Ghost Kitchen,South Auckland,1.05,39.35,1305,85,3344.75,549,305,366,21603.15,12001.75,14402.1,0.285651653038803,0.280214194732253,0.3,9,2.66,973.56,1452.07,2897.72,1609.84,5278.88,0.07,0.45,0.25,0.3,1370.25,0.4341341522289439,0.7,0.006896551724137931,1.0987838429846424,51351.75,11238.51,0.9348659003831418,0.07
Burgers,25077,Lucky Burgers House,Cafe,CBD,0.99,39.76,1641,378,15029.28,568,316,379,22583.68,12564.16,15069.04,0.211968362163752,0.366120141441934,0.31,14,4.13,1565.27,6341.03,2527.37,1406.07,4792.53,0.3,0.45,0.25,0.3,1624.59,0.421911496394314,0.7,0.008531383302864107,1.763837196530324,65246.159999999996,15067.0,0.7696526508226691,0.3
Burgers,25856,Top Burgers Cafe,Cafe,West Auckland,1.04,34.59,1501,328,11345.52,528,293,352,18263.52,10134.87,12175.68,0.212431895472109,0.353694221447222,0.3,8,2.36,830.72,4922.52,2445.01,1356.79,4451.99,0.28,0.45,0.25,0.3,1561.04,0.433873883080669,0.7,0.005329780146568954,1.1561732420055575,51919.590000000004,13176.31,0.7814790139906729,0.28
Burgers,25886,Urban Burgers Bistro,Ghost Kitchen,South Auckland,1.05,35.87,1180,77,2761.99,496,276,331,17791.52,9900.12,11872.97,0.254884610173758,0.256033067405224,0.32,17,5.02,1661.62,1350.84,3008.23,1673.94,4145.24,0.07,0.45,0.25,0.3,1239.0,0.4890823224210179,0.7,0.01440677966101695,0.7716543754926738,42326.600000000006,10178.25,0.9347457627118643,0.07
Burgers,25133,Top Burgers Corner,Full-service,South Auckland,1.05,44.46,2051,636,28276.56,637,354,424,28321.02,15738.84,18851.04,0.386117483489215,0.498271016147919,0.27,12,3.54,1500.96,3269.1,-4372.44,-2429.9,678.44,0.45,0.45,0.25,0.3,2153.55,0.11561150036286594,0.7,0.005850804485616773,-1.3148175991267186,91187.45999999999,-2854.7999999999997,0.6899073622623112,0.45
Burgers,25377,Lucky Burgers Bistro,Full-service,South Auckland,1.05,39.78,1449,442,17582.76,453,252,302,18020.34,10024.56,12013.56,0.380261697387323,0.519352306029759,0.28,4,1.18,356.36,1765.06,-3236.71,-1800.55,849.63,0.44,0.45,0.25,0.3,1521.45,0.10038599658291791,0.7,0.0027605244996549345,-1.1852466676128375,57641.219999999994,-2422.5699999999997,0.6949620427881298,0.44
Burgers,25245,Lucky Burgers Cafe,QSR,North Shore,1.03,43.22,1634,294,12706.68,603,335,402,26061.66,14478.7,17374.44,0.241746065188199,0.40828570977319,0.32,3,0.89,357.78,4446.93,781.02,433.9,5722.72,0.22,0.45,0.25,0.3,1683.02,0.349968225038611,0.7,0.0018359853121175031,1.3099920616723757,70621.48,11384.57,0.8200734394124848,0.22
Burgers,25861,Classic Burgers Diner,Cafe,West Auckland,1.04,38.26,1934,490,18747.4,650,361,433,24869.0,13811.86,16566.58,0.236518038548529,0.38063013474457,0.28,13,3.84,1662.72,7177.48,2557.82,1420.58,4679.83,0.34,0.45,0.25,0.3,2011.3600000000001,0.382851826706901,0.7,0.00672182006204757,1.7927174129941716,73994.84,15835.71,0.7466390899689763,0.34
Burgers,25257,King Burgers Bistro,QSR,South Auckland,1.05,44.28,1873,350,15498.0,685,381,457,30331.8,16870.68,20235.96,0.216959698665887,0.412135697645135,0.3,9,2.66,1215.62,5748.28,2150.66,1196.21,6289.99,0.23,0.45,0.25,0.3,1966.65,0.37090460368897804,0.7,0.004805125467164976,2.112375694637572,82936.44,15385.14,0.813134009610251,0.23
Burgers,25378,King Burgers Cafe,QSR,North Shore,1.03,37.56,1595,298,11192.88,584,324,389,21935.04,12169.44,14610.84,0.232022813316435,0.378713312605396,0.32,10,2.95,1147.55,4356.98,1519.31,842.9,4539.92,0.23,0.45,0.25,0.3,1642.8500000000001,0.389263874078169,0.7,0.006269592476489028,1.0167563177438736,59908.2,11259.109999999999,0.8131661442006272,0.23
Burgers,26108,King Burgers House,Ghost Kitchen,North Shore,1.03,44.4,668,60,2664.0,274,152,182,12165.6,6748.8,8080.8,0.253680308535695,0.260938313254155,0.33,11,3.25,591.5,1293.06,1890.31,1048.64,3330.77,0.1,0.45,0.25,0.3,688.04,0.4853813782101499,0.7,0.016467065868263474,0.6473765165110391,29659.2,7562.780000000001,0.9101796407185628,0.1
Burgers,25501,Classic Burgers Eatery,Cafe,South Auckland,1.05,39.67,1315,395,15669.65,414,230,276,16423.38,9124.1,10948.92,0.254867386501282,0.375745487166569,0.3,7,2.07,571.32,5788.17,1139.57,633.1,3473.07,0.43,0.45,0.25,0.3,1380.75,0.369387126332149,0.7,0.00532319391634981,1.079615478935198,52166.049999999996,11033.91,0.699619771863118,0.43
Burgers,26230,Top Burgers Kitchen,Cafe,CBD,0.99,42.19,1387,374,15779.06,456,253,304,19238.64,10674.07,12825.76,0.207379126213491,0.384480268880725,0.3,15,4.43,1346.72,6440.08,2080.48,1154.3,3887.99,0.37,0.45,0.25,0.3,1373.1299999999999,0.40814060490578397,0.7,0.010814708002883922,1.6499875662861785,58517.53,13562.849999999999,0.7303532804614276,0.37
Burgers,26313,Classic Burgers Diner,Full-service,South Auckland,1.05,36.32,604,166,6029.12,197,110,131,7155.04,3995.2,4757.92,0.393435937189497,0.505011981772259,0.3,12,3.54,463.74,612.27,-1419.9,-792.84,19.44,0.38,0.45,0.25,0.3,634.2,0.10155208103824398,0.7,0.019867549668874173,-1.020087222292023,21937.28,-1581.0300000000002,0.7251655629139073,0.38
Burgers,25775,Lucky Burgers Tavern,QSR,South Auckland,1.05,36.5,1366,273,9964.5,492,273,328,17958.0,9964.5,11972.0,0.202122342158109,0.395233107497916,0.29,3,0.89,291.92,4012.15,2022.87,1122.45,4528.54,0.25,0.45,0.25,0.3,1434.3,0.40264455034397495,0.7,0.0021961932650073207,1.0322227502174253,49859.0,11686.01,0.8001464128843339,0.25
Burgers,26274,Urban Burgers Bistro,Cafe,West Auckland,1.04,43.42,1527,352,15283.84,529,294,352,22969.18,12765.48,15283.84,0.220944037288427,0.393518741847947,0.31,7,2.07,728.64,5892.49,1735.03,964.27,5163.85,0.3,0.45,0.25,0.3,1588.0800000000002,0.3855372208636261,0.7,0.0045841519318926,1.7562293569213125,66302.34,13755.64,0.7694826457105436,0.3
Burgers,26100,Urban Burgers House,QSR,South Auckland,1.05,42.81,1119,216,9246.96,406,226,271,17380.86,9675.06,11601.51,0.232086842898279,0.351238823961467,0.32,6,1.77,479.67,3852.97,1680.28,935.33,4354.38,0.24,0.45,0.25,0.3,1174.95,0.41667433314025404,0.7,0.005361930294906166,1.1882424622198178,47904.39,10822.96,0.806970509383378,0.24
Burgers,25779,Classic Burgers Grill,Full-service,CBD,0.99,34.31,1833,642,22027.02,536,298,357,18390.16,10224.38,12248.67,0.366821483511012,0.451014979300089,0.28,5,1.48,528.36,4012.52,-1799.23,-1000.32,1702.9,0.54,0.45,0.25,0.3,1814.67,0.182163537188899,0.7,0.002727768685215494,-0.352328519686794,62890.229999999996,2915.87,0.6497545008183306,0.54
Burgers,26101,King Burgers Tavern,Full-service,CBD,0.99,32.18,597,164,5277.52,195,108,130,6275.1,3475.44,4183.4,0.378334257286042,0.516466749412939,0.33,18,5.31,690.3,555.19,-1410.65,-781.28,-250.21,0.38,0.45,0.25,0.3,591.03,0.105198993301019,0.7,0.03015075376884422,-1.034077267634985,19211.46,-1886.95,0.7252931323283083,0.38
Burgers,25053,King Burgers Tavern,Full-service,West Auckland,1.04,33.51,1661,499,16721.49,523,290,349,17525.73,9717.9,11694.99,0.396553314290941,0.485376674565487,0.28,12,3.54,1235.46,1974.31,-2837.94,-1573.62,145.37,0.43,0.45,0.25,0.3,1727.44,0.11807001114357196,0.7,0.007224563515954244,-1.1022618650712535,55660.11,-2291.88,0.699578567128236,0.43
Burgers,25631,Classic Burgers Grill,Full-service,South Auckland,1.05,36.33,1499,525,19073.25,438,244,292,15912.54,8864.52,10608.36,0.372706734831445,0.524310493981466,0.28,12,3.54,1033.68,1964.22,-2816.79,-1569.17,58.8,0.54,0.45,0.25,0.3,1573.95,0.10298277118708898,0.7,0.008005336891260841,-1.1406172256920701,54458.67,-2362.9399999999996,0.6497665110073382,0.54
Burgers,26360,Urban Burgers Bistro,Cafe,North Shore,1.03,44.7,1528,361,16136.7,525,292,350,23467.5,13052.4,15645.0,0.267324640452862,0.437447387818247,0.33,12,3.54,1239.0,4764.01,-816.01,-453.86,3379.84,0.31,0.45,0.25,0.3,1573.8400000000001,0.29522797172889104,0.7,0.007853403141361256,0.5264312467896209,68301.6,6873.98,0.7637434554973822,0.31
Burgers,26079,Top Burgers Eatery,Cafe,CBD,0.99,43.28,562,166,7184.48,178,99,119,7703.84,4284.72,5150.32,0.243581773433834,0.436767387227155,0.31,14,4.13,491.47,2296.53,74.35,41.35,1154.83,0.42,0.45,0.25,0.3,556.38,0.31965083933901095,0.7,0.02491103202846975,-0.12189701473092125,24323.36,3567.06,0.704626334519573,0.42
Burgers,25111,Classic Burgers Kitchen,Ghost Kitchen,South Auckland,1.05,46.57,1487,122,5681.54,614,341,410,28593.98,15880.37,19093.7,0.29746993877925,0.321676251804456,0.29,13,3.84,1574.4,2163.84,2597.87,1442.79,5697.51,0.09,0.45,0.25,0.3,1561.3500000000001,0.380853809416294,0.7,0.008742434431741762,1.5739103414607005,69249.59,11902.01,0.917955615332885,0.09
Burgers,25595,Top Burgers Kitchen,QSR,West Auckland,1.04,37.61,1276,271,10192.31,452,251,302,16999.72,9440.11,11358.22,0.218210295401514,0.37306306483224,0.3,14,4.13,1247.26,4165.87,1848.32,1026.39,3395.15,0.27,0.45,0.25,0.3,1327.04,0.408726639766246,0.7,0.0109717868338558,0.8878223603946191,47990.36,10435.73,0.7876175548589343,0.27
Burgers,25881,Lucky Burgers Diner,QSR,CBD,0.99,36.87,1197,199,7337.13,449,250,299,16554.63,9217.5,11024.13,0.201856870297343,0.401524102664553,0.28,15,4.43,1324.57,2910.05,1930.58,1074.94,3047.81,0.2,0.45,0.25,0.3,1185.03,0.39661902703810403,0.7,0.012531328320802004,0.6248688498449515,44133.39,8963.38,0.8337510442773601,0.2
Burgers,26244,Urban Burgers House,Cafe,West Auckland,1.04,34.3,1728,356,12210.8,617,343,412,21163.1,11764.9,14131.6,0.24282123086974,0.435210464918055,0.33,17,5.02,2068.24,3931.49,-169.98,-94.49,2481.69,0.26,0.45,0.25,0.3,1797.1200000000001,0.321968304212205,0.7,0.009837962962962963,0.11777712987044314,59270.399999999994,6148.71,0.7939814814814815,0.26
Burgers,26245,Classic Burgers Corner,Full-service,North Shore,1.03,35.96,697,226,8126.96,212,118,141,7623.52,4243.28,5070.36,0.369292362453416,0.529286201111972,0.29,6,1.77,249.57,824.25,-1437.63,-800.19,264.67,0.48,0.45,0.25,0.3,717.91,0.10142143643461199,0.7,0.00860832137733142,-0.9517766023785907,25064.12,-1148.9,0.6757532281205165,0.48
Burgers,26490,Classic Burgers Eatery,Full-service,West Auckland,1.04,41.27,1437,485,20015.95,428,238,286,17663.56,9822.26,11803.22,0.381961005600169,0.502269128710031,0.32,14,4.13,1181.18,2317.24,-3607.43,-2006.0,185.28,0.51,0.45,0.25,0.3,1494.48,0.11576986568979997,0.7,0.009742519137091163,-1.3210210088968561,59304.990000000005,-3110.91,0.662491301322199,0.51
Burgers,25400,Top Burgers Corner,Ghost Kitchen,West Auckland,1.04,44.01,1458,95,4180.95,613,341,409,26978.13,15007.41,18000.09,0.287121943430975,0.263713604072109,0.29,14,4.13,1689.17,1877.93,4293.96,2388.65,6395.83,0.07,0.45,0.25,0.3,1516.3200000000002,0.44916445249691606,0.7,0.009602194787379973,2.01473855088169,64166.58,14956.37,0.9348422496570645,0.07
Burgers,26532,King Burgers House,Full-service,North Shore,1.03,34.87,2227,722,25176.14,677,376,452,23606.99,13111.12,15761.24,0.383675677911378,0.470021476503462,0.31,8,2.36,1066.72,3683.34,-3864.4,-2146.25,1239.19,0.48,0.45,0.25,0.3,2293.81,0.14630284558516005,0.7,0.003592276605298608,-0.9374784398011685,77655.49,-1088.12,0.6757970363718006,0.48
Burgers,25267,King Burgers Kitchen,Cafe,West Auckland,1.04,35.82,818,238,8525.16,261,145,174,9349.02,5193.9,6232.68,0.210430280975997,0.436889241216704,0.28,4,1.18,205.32,3006.66,679.49,377.5,1992.82,0.41,0.45,0.25,0.3,850.72,0.35268047780729894,0.7,0.004889975550122249,0.14339908403515425,29300.760000000002,6056.469999999999,0.7090464547677261,0.41
Burgers,25119,Classic Burgers Eatery,Cafe,CBD,0.99,33.49,1265,253,8472.97,455,253,304,15237.95,8472.97,10180.96,0.238450531568378,0.443626348115504,0.3,5,1.48,449.92,2693.75,273.11,151.86,2786.84,0.25,0.45,0.25,0.3,1252.35,0.317923120316118,0.7,0.003952569169960474,0.06212489101870748,42364.85,5905.56,0.7999999999999999,0.25
Burgers,26494,Top Burgers House,Full-service,CBD,0.99,41.87,1466,475,19888.25,446,248,297,18674.02,10383.76,12435.39,0.387959811929613,0.479524135775864,0.31,11,3.25,965.25,2635.51,-3314.34,-1842.95,682.64,0.48,0.45,0.25,0.3,1451.34,0.132516052294523,0.7,0.007503410641200546,-1.1031265017851521,61381.420000000006,-1839.1399999999999,0.6759890859481582,0.48
Burgers,25161,Top Burgers Corner,Cafe,West Auckland,1.04,40.42,1119,319,12893.98,360,200,240,14551.2,8084.0,9700.8,0.279486142154783,0.420557478116825,0.3,13,3.84,921.6,3867.63,-0.63,-0.35,1988.22,0.4,0.45,0.25,0.3,1163.76,0.29995637972839195,0.7,0.01161751563896336,0.22698671129536507,45229.979999999996,5854.87,0.7149240393208223,0.4
Burgers,26214,Urban Burgers Corner,Cafe,CBD,0.99,37.88,1694,370,14015.6,596,331,397,22576.48,12538.28,15038.36,0.258535533044487,0.356650849501602,0.33,18,5.31,2108.07,5393.39,1237.5,687.27,3678.9,0.28,0.45,0.25,0.3,1677.06,0.38481361745391096,0.7,0.010625737898465172,0.989940469194662,64168.72,10997.06,0.781582054309327,0.28
Burgers,25528,Lucky Burgers Bistro,QSR,North Shore,1.03,36.79,1652,361,13281.19,581,323,387,21374.99,11883.17,14237.73,0.204108449220657,0.449127485696226,0.28,10,2.95,1141.65,4605.44,1427.08,793.37,3795.48,0.28,0.45,0.25,0.3,1701.56,0.34676406508311697,0.7,0.006053268765133172,0.8804962188358509,60777.08,10621.369999999999,0.7814769975786925,0.28
Burgers,25973,King Burgers Kitchen,Full-service,West Auckland,1.04,37.44,591,153,5728.32,197,110,131,7375.68,4118.4,4904.64,0.372759494010825,0.487910197372548,0.27,13,3.84,503.04,798.13,-963.78,-538.15,180.33,0.35,0.45,0.25,0.3,614.64,0.1393303086166271,0.7,0.021996615905245348,-0.8596880313823638,22127.04,-523.4699999999999,0.7411167512690355,0.35
